ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,monthly,monthly_lower,monthly_upper,quarterly,quarterly_lower,quarterly_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2017-01-01,9.991206865844099,11.89325055132172,14.608535387332926,9.813538990125,10.1702124576,3.243689410248448,3.0143231537074744,3.467494909593116,0.0585361347601092,-0.011383362328944841,0.1281661900861793,0.04805563981295521,-0.4294560532013948,0.521824354274522,1.0321527817977179,0.9329699706463123,1.1315346584014983,2.1049448538776656,1.6079449780800386,2.589698946486663,0.0,0.0,0.0,13.234896276092547,12.727
2017-01-02,9.992428333251727,10.886594002015187,13.570866596347383,9.816153301566963,10.170223595270878,2.2513637516425384,2.0270302361596904,2.4707238236374622,0.053772727964518825,-0.01644090164584098,0.12310265220801128,0.03492046513036893,-0.44152064197975505,0.5128417568302427,0.06481229173274929,-0.036702699320497995,0.16536714774929576,2.0978582668149013,1.598711457206732,2.585527401620959,0.0,0.0,0.0,12.243792084894265,11.613
2017-01-03,9.993649800659352,10.243195825008542,12.915865682772887,9.818714904550715,10.170419638848749,1.5858401533894646,1.3622886760184083,1.8094962185401007,0.046735346182174585,-0.022925906394829734,0.11686116152537435,0.02186560437240789,-0.4558496634425306,0.5055646243280653,-0.5708016065289757,-0.6692908851368458,-0.47017001428137145,2.088040809363858,1.5872783282767335,2.5802992205728503,0.0,0.0,0.0,11.579489954048816,7.413
2017-01-04,9.994871268066978,10.475677615171643,13.2132334762182,9.821320698559822,10.170485236308657,1.8295707801706838,1.600033767051679,2.057109806729604,0.03772159064613561,-0.03168387227461016,0.10804935622398501,0.00907696068548787,-0.46774786796487117,0.49270998314933967,-0.29280686756590313,-0.39235653127034864,-0.19223096858600228,2.0755790964049634,1.575982701180761,2.5675075722512024,0.0,0.0,0.0,11.824442048237662,11.848
2017-01-05,9.996092735474605,10.36184428439107,13.052420135834508,9.823628146618928,10.170229959855,1.6942632106381974,1.4680448476419068,1.9163326949213133,0.027112640727443925,-0.04311876568072305,0.09732490435922268,-0.0032678275727552114,-0.4852165063929422,0.48240545067774826,-0.39015801601207933,-0.4901811938593365,-0.2902378579423329,2.060576413495588,1.5608533528707143,2.5545290307498525,0.0,0.0,0.0,11.690355946112803,10.403
2017-01-06,9.99731420288223,10.296964390136914,12.958999406154446,9.825841086669643,10.17065500340826,1.631182662780387,1.4034777651585968,1.8553996896204639,0.01535713438190345,-0.05509180797793042,0.08551579334486926,-0.01500244466702936,-0.4984147625376026,0.47199020082725585,-0.4123238927872602,-0.5120683828700694,-0.3137080710994809,2.0431518658527734,1.542348976209674,2.5418516003101135,0.0,0.0,0.0,11.628496865662616,11.094
2017-01-07,9.998535670289856,11.205689439964106,13.910147758731323,9.82810757090009,10.170748136060517,2.569542162647679,2.3387432695554153,2.7952735731450513,0.002952195865529995,-0.06666278088911005,0.0735891634593953,-0.025974727092866925,-0.5110634238699147,0.4616008708548644,0.5691253093643419,0.4688455104403312,0.6687098034746509,2.0234393845106737,1.5237985733702515,2.527642961697733,0.0,0.0,0.0,12.568077832937535,7.156
2017-01-08,9.999757137697484,11.6129718488152,14.333839181044972,9.830479722058126,10.171179637833657,2.988112580973449,2.7540003874374768,3.2170239887555936,-0.009577586968925429,-0.08014299622897918,0.061386344548333104,-0.03604921289518674,-0.5192031555499546,0.45346670493382796,1.0321527817974343,0.932969970645984,1.1315346584012864,2.001586599040127,1.4962917562874327,2.5056479546561925,0.0,0.0,0.0,12.987869718670932,9.361
2017-01-09,10.000978605105109,10.621231696861852,13.351588092580421,9.832577062316787,10.17134093126025,1.975754168474791,1.742840395157947,2.20039043298825,-0.02170234677358551,-0.09296993583376899,0.049559783159836376,-0.04510936399915055,-0.5349771511992232,0.442735781869935,0.06481229173190063,-0.036702699321339294,0.165367147748388,1.9777535875156262,1.4740111050248759,2.4806913661596672,0.0,0.0,0.0,11.9767327735799,7.037
2017-01-10,10.002200072512736,9.965209115922697,12.639345257838679,9.83525429109375,10.171678883430937,1.295341143908006,1.0666648683930173,1.5213897850224205,-0.03290934406954419,-0.10365419708863907,0.03750275616322792,-0.053059421096825155,-0.5424715826813729,0.4337078733394961,-0.570801606528969,-0.6692908851368528,-0.4701700142813376,1.952111515603344,1.4446666589073494,2.454901809339454,0.0,0.0,0.0,11.297541216420742,8.352
2017-01-11,10.003421539920362,10.171781639263344,12.884111539961626,9.837476030274107,10.171654127378437,1.5294838022194885,1.307227527669092,1.7578282491607222,-0.04272465029687876,-0.11341878185829896,0.02751092427578754,-0.059825857634181294,-0.5497478799653936,0.4253630797608972,-0.2928068675662227,-0.39235653127073183,-0.19223096858655084,1.924841177716771,1.4179612690533536,2.4236404438674732,0.0,0.0,0.0,11.53290534213985,9.691
2017-01-12,10.004643007327987,10.083285374186186,12.744285832400212,9.839448534328394,10.171174515494464,1.3898818414379874,1.1611828913807953,1.6225769663956295,-0.05073318960406104,-0.1211551657746883,0.020064439312284212,-0.06535840707009105,-0.5524771705807427,0.4186549489988415,-0.39015801601165,-0.49018119385881925,-0.29023785794180473,1.8961314541237895,1.3930763434178948,2.3925782996891933,0.0,0.0,0.0,11.394524848765974,11.124
